id,BidPrice,AcceptedBid,ExpectedRevenue,ExpectedConversion,Bid identifier
58995330,,0,-106.8,0.336,-35.8848
58995358,,0,-43.12,0.219,-9.44328
58995397,,0,-90.56,0.332,-30.06592
58995410,,0,-82.08,0.308,-25.28064
58995635,,0,94.88,0.321,30.45648
58995654,,0,19.68,0.518,10.19424
58995685,,0,-59.92,0.403,-24.14776
58995772,,0,49.92,0.522,26.05824
58995792,35,0,360.67,0.086,31.01762
58995977,35,1,271.49,0.356,96.65044
58996071,35,1,184.64,0.319,58.90016
58996117,35,0,107.6,0.446,47.9896
58996178,35,1,82.8,0.463,38.3364
58996190,35,1,158.96,0.243,38.62728
58996194,75,1,614.01,0.158,97.01358
58996207,75,1,613.61,0.337,206.78657
58996231,,0,326.23,0.14,45.6722
58996247,,0,-129.12,0.214,-27.63168
58996377,,0,44.48,0.531,23.61888
58996468,,0,-83.92,0.268,-22.49056
58996709,35,1,414.24,0.396,164.03904
58996714,75,1,676.15,0.173,116.97395
58996812,,0,73.44,0.236,17.33184
58996914,,0,30.8,0.307,9.4556
58996929,35,1,248.72,0.225,55.962
58997029,35,1,312.99,0.436,136.46364
58997050,,0,91.84,0.312,28.65408
58997066,75,0,562.58,0.187,105.20246
58997157,,0,15.2,0.274,4.1648
58997176,,0,139.76,0.227,31.72552
58997182,,0,-131.04,0.276,-36.16704
58997209,,0,57.44,0.271,15.56624
58997354,,0,-74.48,0.345,-25.6956
58997367,,0,62.72,0.321,20.13312
58997384,35,1,231.68,0.33,76.4544
58997529,,0,61.44,0.27,16.5888
58997544,35,1,335.39,0.221,74.12119
58997572,,0,61.2,0.261,15.9732
58997640,75,1,532.3,0.598,318.3154
58997704,,0,-1.28,0.561,-0.71808
58997744,,0,-95.6,0.401,-38.3356
58997777,,0,-77.68,0.246,-19.10928
58997781,,0,-61.68,0.345,-21.2796
58997851,75,1,323.65,0.543,175.74195
58997854,35,1,91.36,0.365,33.3464
58998005,35,1,75.28,0.458,34.47824
58998021,35,0,190.4,0.238,45.3152
58998048,35,1,385.05,0.24,92.412
58998126,,0,41.92,0.252,10.56384
58998176,,0,34.8,0.235,8.178
58998177,35,0,109.92,0.497,54.63024
58998278,,0,1.52,0.469,0.71288
58998355,35,1,278.28,0.49,136.3572
58998405,,0,98.64,0.267,26.33688
58998447,35,1,370.95,0.151,56.01345
58998463,75,1,600.98,0.359,215.75182
58998593,,0,-31.2,0.495,-15.444
58998647,35,1,221.2,0.273,60.3876
58998712,35,0,238.96,0.215,51.3764
